timestamp,count,coin_a_open,coin_a_high,coin_a_low,coin_a_close,coin_a_volume
2024-01-01T01:05:00Z,1,0.595799849,0.595799849,0.595799849,0.595799849,1907.278869
2024-01-01T01:20:00Z,1,0.597484352,0.597484352,0.597484352,0.597484352,83.784575
2024-01-01T01:25:00Z,1,0.598525353,0.598525353,0.598525353,0.598525353,1144.479415
2024-01-01T02:15:00Z,1,0.599683247,0.599683247,0.599683247,0.599683247,215.942342
2024-01-01T02:35:00Z,3,0.593349971,0.598436167,0.593349971,0.593349971,7070.942504
2024-01-01T03:05:00Z,1,0.602966474,0.602966474,0.602966474,0.602966474,4372.752542
2024-01-01T03:25:00Z,1,0.602264152,0.602264152,0.602264152,0.602264152,1000
2024-01-01T03:40:00Z,1,0.599772087,0.599772087,0.599772087,0.599772087,1901.760542
2024-01-01T05:00:00Z,1,0.594753796,0.594753796,0.594753796,0.594753796,4000
2024-01-01T05:05:00Z,1,0.591081176,0.591081176,0.591081176,0.591081176,350
2024-01-01T05:10:00Z,1,0.590369654,0.590369654,0.590369654,0.590369654,500
2024-01-01T05:15:00Z,2,0.587995945,0.591674314,0.587995945,0.587995945,4859.827241
2024-01-01T06:10:00Z,1,0.589876887,0.589876887,0.589876887,0.589876887,423.817234
2024-01-01T06:15:00Z,1,0.589380773,0.589380773,0.589380773,0.589380773,169.669559
2024-01-01T06:30:00Z,5,0.603556031,0.609420916,0.599095845,0.603670437,21204.13328
2024-01-01T06:45:00Z,1,0.600051724,0.600051724,0.600051724,0.600051724,588.914759
2024-01-01T07:10:00Z,1,0.601357987,0.601357987,0.601357987,0.601357987,933.318427
2024-01-01T07:15:00Z,1,0.596854576,0.596854576,0.596854576,0.596854576,2000
2024-01-01T07:25:00Z,1,0.595115884,0.595115884,0.595115884,0.595115884,45
2024-01-01T07:30:00Z,1,0.600364782,0.600364782,0.600364782,0.600364782,1988.306472
2024-01-01T07:35:00Z,1,0.602932301,0.602932301,0.602932301,0.602932301,995.136775
